gdbfieldname,Rfieldname,acsfieldname,type,glossaryfieldname,formula,acsfieldnamelong,universe
PWDIS_P2,EJ.PCT.proximity.npdes.eo,NA,EJ,Supplementary EJ Index 2 for Proximity to major direct dischargers to water,NA,NA,NA
PWDIS_P6,EJ.PCT.proximity.npdes.svi6,NA,EJ,Supplementary EJ Index 2 for Proximity to major direct dischargers to water using Supplementary Demographic Index,NA,NA,NA
D_PNPL_2,EJ.DISPARITY.proximity.npl.eo,NA,EJ,EJ Index for Proximity to National Priorities List (NPL) sites,NA,NA,NA
PNPL_D6,EJ.DISPARITY.proximity.npl.svi6,NA,EJ,EJ Index for Proximity to National Priorities List (NPL) sites using Supplementary Demographic Index,NA,NA,NA
PNPL_B2,EJ.BURDEN.proximity.npl.eo,NA,EJ,Supplementary EJ Index 1 for Proximity to National Priorities List (NPL) sites,NA,NA,NA
PNPL_B6,EJ.BURDEN.proximity.npl.svi6,NA,EJ,Supplementary EJ Index 1 for Proximity to National Priorities List (NPL) sites using Supplementary Demographic Index,NA,NA,NA
PNPL_P2,EJ.PCT.proximity.npl.eo,NA,EJ,Supplementary EJ Index 2 for Proximity to National Priorities List (NPL) sites,NA,NA,NA
PNPL_P6,EJ.PCT.proximity.npl.svi6,NA,EJ,Supplementary EJ Index 2 for Proximity to National Priorities List (NPL) sites using Supplementary Demographic Index,NA,NA,NA
D_PRMP_2,EJ.DISPARITY.proximity.rmp.eo,NA,EJ,EJ Index for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
PRMP_D6,EJ.DISPARITY.proximity.rmp.svi6,NA,EJ,EJ Index for Proximity to Risk Management Plan (RMP) facilities using Supplementary Demographic Index,NA,NA,NA
PRMP_B2,EJ.BURDEN.proximity.rmp.eo,NA,EJ,Supplementary EJ Index 1 for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
PRMP_B6,EJ.BURDEN.proximity.rmp.svi6,NA,EJ,Supplementary EJ Index 1 for Proximity to Risk Management Plan (RMP) facilities using Supplementary Demographic Index,NA,NA,NA
PRMP_P2,EJ.PCT.proximity.rmp.eo,NA,EJ,Supplementary EJ Index 2 for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
PRMP_P6,EJ.PCT.proximity.rmp.svi6,NA,EJ,Supplementary EJ Index 2 for Proximity to Risk Management Plan (RMP) facilities using Supplementary Demographic Index,NA,NA,NA
D_PTSDF_2,EJ.DISPARITY.proximity.tsdf.eo,NA,EJ,EJ Index for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
PTSDF_D6,EJ.DISPARITY.proximity.tsdf.svi6,NA,EJ,EJ Index for Proximity to Treatment Storage and Disposal (TSDF) facilities using Supplementary Demographic Index,NA,NA,NA
PTSDF_B2,EJ.BURDEN.proximity.tsdf.eo,NA,EJ,Supplementary EJ Index 1 for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
PTSDF_B6,EJ.BURDEN.proximity.tsdf.svi6,NA,EJ,Supplementary EJ Index 1 for Proximity to Treatment Storage and Disposal (TSDF) facilities using Supplementary Demographic Index,NA,NA,NA
